Address,Company,Title,Career,Skill,URL,InfoDetails,Tag,D_day
강남구,에스디티 주식회사,기업부설연구소 MCU F/W 개발(경력직) 채용,경력 (3년이상),"기본우대 관련 학과 전공자 우대전공 기계·메카트로닉스·로봇
더보기",https://www.jobkorea.co.kr/Recruit/GI_Read/44306044?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 시스템엔지니어 하드웨어개발자 머신러닝엔지니어 인공지능 H/W 제품개발 컴퓨터·하드웨어·장비 스토리지 컴퓨터 펌웨어 하드웨어 AS 서울 > 강남구,시작일 2024.03.25(월) 마감일 2024.05.24(금)
서초구,텔코웨어㈜,[텔코웨어] Media Server 개발 경력사원 채용공고,경력 (5년이상),"C, C++, MariaDB, PostgreSQL, Window, Linux, Network Socket",https://www.jobkorea.co.kr/Recruit/GI_Read/44324698?rPageCode=SL&logpath=21&sn=6,,강소기업 채용관참 괜찮은 중소기업 선정 기업IT 개발자 전문 채용관 백엔드개발자 서버관리 클라이언트 소프트웨어개발자 시스템분석 시스템설계 아키텍처 머신러닝엔지니어 딥러닝 이미지프로세싱 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발,
구로구,㈜엘로이랩,"[구로지점, 병역특례(전문연구요원)] AI 연구원 채용",신입·경력,"꼼꼼함, 성장지향성, 성실성, 성취지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/44377676?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발 서울 > 구로구,시작일 2024.04.03(수) 마감일 2024.06.02(일)
금천구,㈜지브이랩,"머신 비전 프로그램 개발자 모집 (딥러닝, 이미지 프로세싱, 시스템 제어, C++ / 신입 및 경력)",경력 (1년이상),"C, C++, OpenCV, CUDA",https://www.jobkorea.co.kr/Recruit/GI_Read/44420803?rPageCode=SL&logpath=21&sn=6,,LG전자 협력회사 온라인 채용관IT 개발자 전문 채용관 소프트웨어개발자 시스템분석 시스템설계 아키텍처 SI개발 머신러닝엔지니어 딥러닝 이미지프로세싱 솔루션·SI·CRM·ERP 소프트웨어개발 서울 > 금천구,시작일 2024.04.09(화) 마감일 2024.06.08(토)
강남구,㈜엘젠,유능한 개발자 모십니다.,경력 (7년이상),"JAVA, Python, 풀스택, NLU, LLM",https://www.jobkorea.co.kr/Recruit/GI_Read/44491767?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 백엔드개발자 SI개발 소프트웨어개발자 시스템분석 시스템설계 클라이언트 아키텍처 머신러닝엔지니어 딥러닝 자연어처리(NLP) 음성인식 인공지능 모델링 솔루션·SI·CRM·ERP 소프트웨어개발,시작일 2024.04.18(목) 마감일 2024.06.17(월)
강남구,에너자이,에너자이 AI 컴파일러 엔지니어 채용 공고 (전문연구요원 가능),경력무관,"C, C++, Pytorch, Scala, Tensorflow, F#, haskell, Optimizing ML, vision algorithm on DSP, vision algorithm on NPU",https://www.jobkorea.co.kr/Recruit/GI_Read/44322610?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 AI 컴파일러 엔지니어 솔루션·SI·CRM·ERP 소프트웨어개발 서울 > 강남구,
서초구,㈜에이아이네이션,[AInation] 인공지능 데이터 사이언티스트 모집 (경력),경력 (3년이상),"Python, Pytorch, SQL, Tensorflow",https://www.jobkorea.co.kr/Recruit/GI_Read/44421363?rPageCode=SL&logpath=21&sn=6,,잡아바 추천 TOP 기업 온라인 채용관IT 개발자 전문 채용관 데이터사이언티스트 데이터분석 데이터시각화 분석모델링 머신러닝엔지니어 모델링 딥러닝 인공지능 솔루션·SI·CRM·ERP 솔루션 서울 > 서초구,
구로구,㈜젠티,[젠티] 인공지능(AI) 엔지니어 모집(병역특례 전문연구요원 포함),경력,"AWS, Python, Pytorch, SQL, GitHub",https://www.jobkorea.co.kr/Recruit/GI_Read/44488519?rPageCode=SL&logpath=21&sn=6,,잡아바 추천 TOP 기업 온라인 채용관IT 개발자 전문 채용관 데이터사이언티스트 데이터분석 데이터시각화 분석모델링 머신러닝엔지니어 모델링 딥러닝 자연어처리(NLP) 인공지능 챗봇 물리 병역특례 수학 정보검색 통계,
구로구,디딤365㈜,클라우드 구축 및 운영 엔지니어 인재 채용,경력 (2년이상),"Python, Window, Linux",https://www.jobkorea.co.kr/Recruit/GI_Read/44481133?rPageCode=SL&logpath=21&sn=6,,강소기업 채용관가족친화인증기업 채용관참 괜찮은 중소기업 선정 기업일학습병행 채용관IT 개발자 전문 채용관 시스템엔지니어 서버구축 시스템운영 서버관리 데이터엔지니어 빅데이터 머신러닝엔지니어 인공지능 네트워크·통신서비스 IDC,
강남구,에너자이,에너자이 ML Engineer/Researcher 채용 공고 (전문연구요원 가능),경력무관,"Keras, Python, Pytorch, Tensorflow, NAS, network compression",https://www.jobkorea.co.kr/Recruit/GI_Read/44521068?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 인공지능 딥러닝 컴퓨터비젼 알고리즘 솔루션·SI·CRM·ERP 소프트웨어개발 서울 > 강남구,
